timestamp,reqNum,,,,
1543752316,12,,1543752316,,0
1543752319,31,,,,3
1543752320,35,,,,4
1543752321,43,,,,5
1543752322,52,,,,6
1543752323,68,,,,7
1543752324,72,,,,8
1543752325,65,,,,9
1543752326,68,,,,10
1543752327,74,,,,11
1543752328,83,,,,12
1543752329,88,,,,13
1543752330,58,,,,14
1543752331,84,,,,15
1543752332,75,,,,16
1543752333,51,,,,17
1543752334,66,,,,18
1543752335,62,,,,19
1543752336,68,,,,20
1543752337,82,,,,21
1543752338,51,,,,22
1543752339,23,,,,23
1543752340,90,,,,24
1543752341,59,,,,25
1543752342,49,,,,26
1543752343,50,,,,27
1543752344,65,,,,28
1543752345,72,,,,29
1543752346,66,,,,30
1543752347,82,,,,31
1543752348,67,,,,32
1543752349,50,,,,33
1543752350,51,,,,34
1543752351,48,,,,35
1543752352,67,,,,36
1543752353,85,,,,37
1543752354,24,,,,38
1543752355,83,,,,39
1543752356,87,,,,40
1543752357,88,,,,41
1543752358,87,,,,42
1543752359,80,,,,43
1543752360,87,,,,44
1543752361,90,,,,45
1543752362,68,,,,46
1543752363,49,,,,47
1543752364,91,,,,48
1543752365,81,,,,49
1543752366,45,,,,50
1543752367,40,,,,51
1543752368,38,,,,52
1543752369,48,,,,53
1543752370,70,,,,54
1543752371,69,,,,55
1543752372,61,,,,56
1543752373,63,,,,57
1543752374,116,,,,58
1543752375,122,,,,59
1543752376,131,,,,60
1543752377,113,,,,61
1543752378,145,,,,62
1543752379,140,,,,63
1543752380,152,,,,64
1543752381,128,,,,65
1543752382,151,,,,66
1543752383,132,,,,67
1543752384,152,,,,68
1543752385,142,,,,69
1543752386,155,,,,70
1543752387,144,,,,71
1543752388,156,,,,72
1543752389,148,,,,73
1543752390,150,,,,74
1543752391,150,,,,75
1543752392,140,,,,76
1543752393,127,,,,77
1543752394,149,,,,78
1543752395,123,,,,79
1543752396,118,,,,80
1543752397,123,,,,81
1543752398,149,,,,82
1543752399,123,,,,83
1543752400,144,,,,84
1543752401,139,,,,85
1543752402,156,,,,86
1543752403,147,,,,87
1543752404,163,,,,88
1543752405,145,,,,89
1543752406,157,,,,90
1543752407,146,,,,91
1543752408,147,,,,92
1543752409,149,,,,93
1543752410,148,,,,94
1543752411,161,,,,95
1543752412,136,,,,96
1543752413,33,,,,97
1543752414,44,,,,98
1543752415,42,,,,99
1543752416,58,,,,100
1543752417,122,,,,101
1543752418,141,,,,102
1543752419,145,,,,103
1543752420,160,,,,104
1543752421,142,,,,105
1543752422,146,,,,106
1543752423,128,,,,107
1543752424,129,,,,108
1543752425,137,,,,109
1543752426,104,,,,110
1543752427,144,,,,111
1543752428,131,,,,112
1543752429,143,,,,113
1543752430,127,,,,114
1543752431,151,,,,115
1543752432,147,,,,116
1543752433,159,,,,117
1543752434,139,,,,118
1543752435,161,,,,119
1543752436,138,,,,120
