timestamp,reqNum,,
1543808180,12,,0
1543808182,6,,2
1543808183,87,,3
1543808184,96,,4
1543808185,108,,5
1543808186,90,,6
1543808187,121,,7
1543808188,131,,8
1543808189,121,,9
1543808190,143,,10
1543808191,112,,11
1543808192,135,,12
1543808193,114,,13
1543808194,79,,14
1543808195,136,,15
1543808196,131,,16
1543808197,91,,17
1543808198,129,,18
1543808199,142,,19
1543808200,148,,20
1543808201,98,,21
1543808202,126,,22
1543808203,153,,23
1543808204,130,,24
1543808205,118,,25
1543808206,125,,26
1543808207,146,,27
1543808208,136,,28
1543808209,127,,29
1543808210,142,,30
1543808211,120,,31
1543808212,137,,32
1543808213,115,,33
1543808214,147,,34
1543808215,127,,35
1543808216,124,,36
1543808217,127,,37
1543808218,126,,38
1543808219,124,,39
1543808220,133,,40
1543808221,141,,41
1543808222,141,,42
1543808223,132,,43
1543808224,121,,44
1543808225,136,,45
1543808226,118,,46
1543808227,133,,47
1543808228,118,,48
1543808229,134,,49
1543808230,129,,50
1543808231,119,,51
1543808232,136,,52
1543808233,143,,53
1543808234,137,,54
1543808235,150,,55
1543808236,114,,56
1543808237,114,,57
1543808238,143,,58
1543808239,128,,59
1543808240,144,,60
1543808241,123,,61
1543808242,132,,62
1543808243,134,,63
1543808244,137,,64
1543808245,133,,65
1543808246,151,,66
1543808247,135,,67
1543808248,154,,68
1543808249,130,,69
1543808250,152,,70
1543808251,128,,71
1543808252,148,,72
1543808253,127,,73
1543808254,145,,74
1543808255,120,,75
1543808256,134,,76
1543808257,144,,77
1543808258,149,,78
1543808259,122,,79
1543808260,129,,80
1543808261,128,,81
1543808262,106,,82
1543808263,119,,83
1543808264,134,,84
1543808265,118,,85
1543808266,75,,86
1543808267,38,,87
1543808268,69,,88
1543808269,297,,89
1543808270,282,,90
1543808271,261,,91
1543808272,183,,92
1543808273,165,,93
1543808274,229,,94
1543808275,234,,95
1543808276,255,,96
1543808277,227,,97
1543808278,262,,98
1543808279,285,,99
1543808280,229,,100
1543808281,222,,101
1543808282,281,,102
1543808283,246,,103
1543808284,253,,104
1543808285,201,,105
1543808286,254,,106
1543808287,260,,107
1543808288,236,,108
1543808289,253,,109
1543808290,233,,110
1543808291,236,,111
1543808292,128,,112
1543808293,90,,113
1543808294,232,,114
1543808295,258,,115
1543808296,223,,116
1543808297,259,,117
1543808298,233,,118
1543808299,134,,119
