timestamp,reqNum
1543800041,6
1543800049,5
1543800050,7
1543800056,6
1543800062,46
1543800063,66
1543800064,67
1543800065,72
1543800066,69
1543800067,67
1543800068,74
1543800069,71
1543800070,75
1543800071,70
1543800072,65
1543800073,71
1543800074,75
1543800075,76
1543800076,54
1543800077,61
1543800078,73
1543800079,79
1543800080,71
1543800081,25
1543800082,14
1543800083,18
1543800084,31
1543800085,76
1543800086,76
1543800087,81
1543800088,71
1543800089,79
1543800090,78
1543800091,76
1543800092,47
1543800093,78
1543800094,74
1543800095,71
1543800096,75
1543800097,69
1543800098,80
1543800099,74
1543800100,72
1543800101,69
1543800102,76
1543800103,74
1543800104,77
1543800105,72
1543800106,78
1543800107,75
1543800108,77
1543800109,33
1543800110,74
1543800111,76
1543800112,72
1543800113,75
1543800114,65
1543800115,70
1543800116,78
1543800117,78
1543800118,74
1543800119,78
1543800120,74
1543800121,77
1543800122,70
1543800123,75
1543800124,67
1543800125,72
1543800126,67
1543800127,77
1543800128,75
1543800129,77
1543800130,74
1543800131,75
1543800132,81
1543800133,69
1543800134,68
1543800135,78
1543800136,77
1543800137,77
1543800138,74
1543800139,75
1543800140,77
1543800141,79
1543800142,73
1543800143,78
1543800144,78
1543800145,73
1543800146,70
1543800147,79
1543800148,79
1543800149,73
1543800150,77
1543800151,81
1543800152,79
1543800153,63
1543800154,74
1543800155,81
1543800156,77
1543800157,75
1543800158,81
1543800159,75
1543800160,74
1543800161,79
1543800162,79
1543800163,77
1543800164,74
1543800165,77
1543800166,78
1543800167,77
1543800168,71
1543800169,78
1543800170,77
1543800171,73
1543800172,79
1543800173,78
1543800174,80
1543800175,71
1543800176,76
1543800177,79
1543800178,75
1543800179,70
1543800180,76
1543800181,80
1543800182,79
1543800183,74
1543800184,77
1543800185,69
1543800186,38
1543800187,17
1543800188,78
1543800189,100
1543800190,105
1543800191,92
1543800192,125
1543800193,159
1543800194,211
1543800195,259
1543800196,215
1543800197,229
1543800198,216
1543800199,220
1543800200,234
1543800201,188
1543800202,222
1543800203,233
1543800204,238
1543800205,189
1543800206,211
1543800207,230
1543800208,225
1543800209,210
1543800210,227
1543800211,240
1543800212,210
1543800213,208
1543800214,197
1543800215,211
1543800216,201
1543800217,129
1543800218,194
1543800219,231
1543800220,232
1543800221,236
1543800222,248
1543800223,211
1543800224,134
1543800225,239
1543800226,221
1543800227,241
1543800228,232
1543800229,233
1543800230,230
1543800231,239
1543800232,79
1543800233,203
1543800234,208
1543800235,214
1543800236,235
1543800237,208
1543800238,227
1543800239,213
1543800240,240
1543800241,221
1543800242,206
1543800243,214
1543800244,220
1543800245,202
1543800246,218
1543800247,220
1543800248,219
1543800249,221
1543800250,207
1543800251,233
1543800252,235
1543800253,184
1543800254,218
1543800255,201
1543800256,190
1543800257,73
1543800258,214
1543800259,216
1543800260,220
1543800261,196
1543800262,230
1543800263,168
1543800264,194
1543800265,236
1543800266,134
1543800267,187
1543800268,226
1543800269,166
1543800270,235
1543800271,235
1543800272,201
1543800273,196
1543800274,208
1543800275,207
1543800276,183
1543800277,228
1543800278,225
1543800279,236
1543800280,208
1543800281,104
1543800282,108
1543800283,227
1543800284,225
1543800285,212
1543800286,207
1543800287,222
1543800288,215
1543800289,206
1543800290,221
1543800291,203
1543800292,220
1543800293,208
1543800294,209
1543800295,226
1543800296,190
1543800297,221
1543800298,215
1543800299,210
1543800300,24
1543800301,182
1543800302,192
1543800303,205
1543800304,211
1543800305,186
1543800306,199
1543800307,181
1543800308,200
1543800309,206
1543800310,211
1543800311,165
1543800312,193
1543800313,210
1543800314,195
1543800315,192
1543800316,216
1543800317,187
1543800318,228
1543800319,222
1543800320,208
1543800321,210
1543800322,164
1543800323,203
1543800324,199
1543800325,199
1543800326,210
1543800327,219
1543800328,202
1543800329,202
1543800330,216
1543800331,222
1543800332,215
1543800333,114
1543800334,138
1543800335,221
1543800336,223
1543800337,194
1543800338,226
1543800339,214
1543800340,218
1543800341,202
1543800342,194
1543800343,225
1543800344,197
1543800345,213
1543800346,209
1543800347,87
1543800348,206
1543800349,189
1543800350,203
1543800351,208
1543800352,214
1543800353,214
1543800354,204
1543800355,198
1543800356,189
1543800357,217
1543800358,205
1543800359,180
1543800360,168
1543800361,201
1543800362,191
1543800363,180
1543800364,190
1543800365,185
1543800366,205
1543800367,189
1543800368,206
1543800369,211
1543800370,193
1543800371,200
1543800372,206
1543800373,180
1543800374,202
1543800375,209
1543800376,202
1543800377,153
1543800378,202
1543800379,195
1543800380,212
1543800381,210
1543800382,205
1543800383,186
1543800384,196
1543800385,204
1543800386,205
1543800387,210
1543800388,129
1543800389,184
1543800390,170
1543800391,193
1543800392,141
1543800393,146
1543800394,201
1543800395,204
1543800396,160
1543800397,185
1543800398,170
1543800399,165
1543800400,212
1543800401,171
1543800402,184
1543800403,200
1543800404,206
1543800405,189
1543800406,178
1543800407,208
1543800408,225
1543800409,182
1543800410,189
1543800411,201
1543800412,217
1543800413,198
1543800414,209
1543800415,187
1543800416,171
1543800417,217
1543800418,174
1543800419,179
1543800420,190
1543800421,185
1543800422,182
1543800423,172
1543800424,178
1543800425,194
1543800426,186
1543800427,154
1543800428,173
1543800429,186
1543800430,186
1543800431,186
1543800432,195
1543800433,183
1543800434,181
1543800435,210
1543800436,202
1543800437,203
1543800438,199
1543800439,138
1543800440,172
1543800441,154
1543800442,167
1543800443,193
1543800444,181
1543800445,180
1543800446,198
1543800447,210
1543800448,190
1543800449,197
1543800450,164
1543800451,188
1543800452,183
1543800453,181
1543800454,200
1543800455,198
1543800456,199
1543800457,185
1543800458,196
1543800459,189
1543800460,191
1543800461,200
1543800462,137
1543800463,196
1543800464,195
1543800465,188
1543800466,201
1543800467,177
1543800468,201
1543800469,186
1543800470,169
1543800471,185
1543800472,177
1543800473,181
1543800474,177
1543800475,192
1543800476,184
1543800477,190
1543800478,196
1543800479,192
1543800480,188
1543800481,186
1543800482,173
1543800483,189
1543800484,190
1543800485,191
1543800486,151
1543800487,190
1543800488,194
1543800489,192
1543800490,178
1543800491,178
1543800492,167
1543800493,192
1543800494,177
1543800495,191
1543800496,174
1543800497,178
1543800498,181
1543800499,170
1543800500,199
1543800501,164
1543800502,158
1543800503,165
1543800504,163
1543800505,183
1543800506,134
1543800507,173
1543800508,164
1543800509,174
1543800510,182
1543800511,203
1543800512,160
1543800513,198
1543800514,179
1543800515,171
1543800516,181
1543800517,183
1543800518,174
1543800520,73
1543800521,185
1543800522,172
1543800523,175
1543800524,192
1543800525,164
1543800526,171
1543800527,190
1543800528,169
1543800529,183
1543800530,185
1543800531,185
1543800532,179
1543800533,198
1543800534,169
1543800535,169
1543800536,182
1543800537,185
1543800538,169
1543800539,181
1543800540,175
1543800541,184
1543800542,130
1543800543,173
1543800544,184
1543800545,171
1543800546,177
1543800547,175
1543800548,196
1543800549,183
1543800550,179
1543800551,128
1543800552,136
1543800553,127
1543800554,179
1543800555,178
1543800556,201
1543800557,180
1543800558,179
1543800559,183
1543800560,181
1543800561,173
1543800562,121
1543800563,177
1543800564,185
1543800565,181
1543800566,180
1543800567,190
1543800568,156
1543800569,185
1543800570,179
1543800571,168
1543800572,161
1543800573,184
1543800574,179
1543800575,143
1543800576,169
1543800577,167
1543800578,173
1543800579,172
1543800580,171
1543800581,141
1543800582,170
1543800583,176
1543800584,174
1543800585,159
1543800586,169
1543800587,175
1543800588,181
1543800589,168
1543800590,167
1543800591,167
1543800592,178
1543800593,161
1543800594,108
1543800595,179
1543800596,171
1543800597,186
1543800598,174
1543800599,182
1543800600,152
1543800601,173
1543800602,127
1543800603,79
1543800604,161
1543800605,163
1543800606,114
1543800607,149
1543800608,144
1543800609,138
1543800610,114
1543800611,121
1543800612,93
1543800613,104
1543800614,79
1543800615,71
1543800616,69
1543800617,45
1543800618,37
1543800619,33
1543800620,18
1543800621,20
1543800622,113
1543800623,153
1543800624,151
1543800625,185
1543800626,166
1543800627,171
1543800628,159
1543800629,154
1543800630,141
1543800631,215
1543800632,172
1543800633,150
1543800634,192
1543800635,124
1543800636,164
1543800637,208
1543800638,144
1543800639,205
1543800640,145
1543800641,176
1543800642,155
1543800643,165
1543800644,170
1543800645,127
1543800646,275
1543800647,104
1543800648,219
1543800649,158
1543800650,111
1543800651,83
1543800652,178
1543800653,158
1543800654,187
1543800655,153
1543800656,206
1543800657,120
1543800658,256
1543800659,89
1543800660,236
1543800661,114
1543800662,210
1543800663,125
1543800664,207
1543800665,175
1543800666,106
1543800667,220
1543800668,106
1543800669,237
1543800670,129
1543800671,195
1543800672,170
1543800673,130
1543800674,215
1543800675,129
1543800676,19
1543800677,185
1543800678,209
1543800679,111
1543800680,213
1543800681,157
1543800682,157
1543800683,132
1543800684,164
1543800685,121
1543800686,169
1543800687,136
1543800688,167
1543800689,185
1543800690,110
1543800691,220
1543800692,96
1543800693,241
1543800694,108
1543800695,214
1543800696,139
1543800697,139
1543800698,184
1543800699,127
1543800700,221
1543800701,121
1543800702,243
1543800703,94
1543800704,178
